*"American Baptist College,"Eakin-Weakley Dr Nashville TN","37243","@calbaptist.edu",36.165798,-86.784401
"American Baptist Seminary of the West,"1956 University Ave Berkeley CA","94704","@sfseminary.edu",37.8717,-122.271698
"American Indian College of the Assemblies of God Inc","10020 N 15th Ave Phoenix Arizona 85021","85021","@aicag.edu",33.559,-112.0932
"American Jewish University","15600 Mulholland Dr Los Angeles California 90077-1519","90077","@ajula.edu",34.1276,-118.4727
"American Musical and Dramatic Academy","2109 Broadway New York New York 10023","10023","@amda.edu",40.7754,-73.9832
*"American Samoa Community College," Pago Pago AS","","@amsamoa.edu",-14.278039,-170.699265
"Amherst College","Boltwood Avenue Amherst Massachusetts 01002-5000","01002","@amherst.edu",42.3731,-72.506
"Amridge University","1200 Taylor Rd Montgomery Alabama 36117-3553","36117","@amridgeuniversity.edu",32.3787,-86.1735
"Anamarc Educational Institute,"99 Union Fashion El Paso TX","79901","@anamarc.edu",31.7586,-106.486397
"Ancilla College,"7976 Union Rd Donaldson IN","46513","@ancilla.edu",41.361099,-86.444199
"Anderson University","316 Boulevard Anderson South Carolina 29621","29621","@anderson.edu",34.5322,-82.6295
"Andover College,"205 Cumberland Ave S Portland ME","04101","@andover.edu",43.6614,-70.255798
"Andover Newton Theological School,"933 Beacon St Newton Centre MA","02459","@ants.edu",42.330601,-71.199997
*"Andrew College,"180 W Dawson St Cuthbert GA","39840", ,31.771099,-84.789398
"Andrews University,"223 W Ferry St Berrien Springs MI","49103","@andrews.edu",41.9464,-86.338898
*"Angelina College,"129 E Shepherd Ave Lufkin TX","75901",,31.3381,-94.728897
"Angelo State University,"27 E Harris Ave San Angelo TX","76903","@angelo.edu",31.4636,-100.436699
"Angley College","1700 S. Woodland Blvd. Deland Florida 32720","32720","@angley.edu",29.0306,-81.3344
"Ann Arbor Institute of Massage Therapy,"311 Catherine St Ann Arbor MI","48104","@aaimt.edu",42.283298,-83.745796
"Anna Maria College","50 Sunset Lane Paxton Massachusetts 01612-1198","01612","@annamaria.edu",42.3301,-71.9196
"Anne Arundel Community College,"10 Church Rd Arnold MD","21012","@aacc.edu",39.031898,-76.503098
"Anoka Technical College,"316 E Main St Anoka MN","55303","@anokatech.edu",45.1978,-93.386902
"Anoka-Ramsey Community College,"8282 Mississippi Blvd NW Coon Rapids MN","55433","@anokaramsey.edu",45.119999,-93.287498
"Antelope Valley College,"499 W Lumber St Lancaster CA","93534","@avc.edu",34.698101,-118.135803
"Anthem College-Denver,"852 N Vaughn St Aurora CO","80011","@anthem.edu",39.729401,-104.831398
"Anthem College-Phoenix","1515 E Indian School Road Phoenix Arizona 85014","85014","@anthem.edu",33.5109,-112.0569
"Anthem College-Portland,"12211 SW Farmington Rd Beaverton OR","97005","@anthem.edu",45.487202,-122.802498
"Anthem Institute - Manhattan,"16 Kenmare St New York NY","10012",,40.720409,-73.994637
"Anthem Institute-Cherry Hill,"509 Haddonfield Rd Cherry Hill NJ","08002","@anthem.edu",39.9347,-75.031097
"Anthem Institute-Jersey City,"181 Olean Ave Jersey City NJ","07306","@anthem.edu",40.7281,-74.078102
"Anthem Institute-North Brunswick,"625 Myrtle Rd North Brunswick NJ","08902",@anthem.edu ,40.448448,-74.477577
"Anthem Institute-Parsippany,"7 Alexander Ave Parsippany NJ","07054",@anthem.edu ,40.8578,-74.426399
"Anthem Institute-Springfield,"6 S Norwinden Dr Springfield PA","19064",@anthem.edu ,39.930599,-75.320602
"Antioch University McGregor","900 Dayton St Yellow Springs Ohio 45387","45387","@antioch.edu",39.8008,-83.8897
